,BG,IP,EA,PAH DPO,smiles,no_longest,SDPO
C6187,3.2660163,5.6172324,2.3512161,2.37,c1cc2cc3c(cc2cc1)c1c(cc3)c2c(c(ccc2)C#N)c2ccccc12,s,((s))*(1/1)
C691,3.6371607,5.8327356,2.1955749,0.75,c1cc2c(c(c1)C#N)c1c(cc2)ccc2c1ccc1c2c2ccccc2cc1,sa,((s)+(s)+(s)+(s)+(sa*1))*(1/5)
C5101,3.4105014,5.6958693,2.2853679,2.03,c1ccc2c(c1)cc1c(c2)ccc2c1c(cc1c2cccc1)C#N,s,((s))*(1/1)
C6205,3.8477661,6.0373548,2.1895887,1.2,c1cc2c(cc1)c1cc3c(cc1cc2)c1c(ccc(c1)C#N)c1ccccc31,s,((s))*(1/1)
C4411,3.5111784,5.9959956,2.4848172,1.7,c12c(cc3c(c1)c1c(cc3)cccc1)cccc2C#N,sa,((sa*1))*(1/1)
C6322,3.6061413,6.0014376,2.3952963,0.58,c1cc2c(cc1)c1c(cc2C#N)c2c(c3ccccc13)c1c(cccc1)cc2,sa,((s)+(s)+(sa*1)+(sa*1)+(s))*(1/5)
C51.1,3.8755203,6.1864656,2.3109453,0.83,c1cc2c(cc1)c1c(cc2C#N)c2c(ccc3c2cccc3)cc1,sa,((s)+(s)+(sa*1)+(sa*1))*(1/4)
C422,3.8940231,6.2324505,2.3384274,0.5,c1cc2c(cc1)c1c(cc(c3ccccc13)C#N)cc2,sa,((sa*1)+(sa*1)+(s))*(1/3)
C421,3.9892581,6.2136756,2.2244175,0.5,c1cc2c(cc1)c1c(c(cc3ccccc13)C#N)cc2,sa,((sa*1)+(sa*1)+(s))*(1/3)
C6125,2.9065722,5.5666218,2.6600496,2.35,c1c(c2cc3c(cc2cc1)c1c(cc3)ccc2c1cc1ccccc1c2)C#N,sa,((sa*1)+(s))*(1/2)
C693,3.7476333,6.0158589,2.2682256,0.75,c1(cc2c(cc1)c1c(cc2)ccc2c1ccc1c2c2ccccc2cc1)C#N,sa,((s)+(s)+(s)+(s)+(sa*1))*(1/5)
C5109,3.2475135,5.8830741,2.6355606,2.03,c1ccc2c(c1)cc1c(c2C#N)ccc2c1ccc1c2cccc1,sa,((sa*1))*(1/1)
C51011,3.3375786,5.8806252,2.5430466,2.03,c1c(cc2c(c1)cc1c(c2)ccc2c1ccc1c2cccc1)C#N,sa,((sa*1))*(1/1)
C6242,3.7375656,5.9361336,2.198568,1.17,c1cc2c(cc1)c1c3c4c(ccc(c4)C#N)ccc3c3ccccc3c1cc2,sa,((s)+(s)+(sa*1)+(s)+(s))*(1/5)
C435,4.0142913,6.2063289,2.1920376,1.08,c1ccc2c(c1)c1c(cc2)c2c(cc1)ccc(c2)C#N,sa,((sa*1)+(s)+(s))*(1/3)
C587,3.5250555,5.9957235,2.470668,1.62,c1cc2cc3c(cc2cc1)c1cc2ccccc2cc1c(c3)C#N,sa,((sa*1)+(sa*1))*(1/2)
C535,3.9337497,6.1165359,2.1827862,0.83,c1cc2c(cc1)c1c(cc2)c2c(cc1)c1c(ccc(c1)C#N)cc2,sa,((sa*1)+(s)+(s)+(s))*(1/4)
